REPOSITORY                                      TAG                                        IMAGE ID       CREATED              SIZE
docker.elastic.co/kibana/kibana                 7.17.6                                     4239c3f5bd3d   6 months ago         799MB
quay.io/prometheuscommunity/postgres-exporter   latest                                     74d2fcecd9a0   6 months ago         17.9MB
nginx                                           alpine                                     804f9cebfdc5   6 months ago         23.5MB
docker_web                                      latest                                     0163a6055695   6 months ago         250MB
<none>                                          <none>                                     dbadd1905c7c   6 months ago         782MB
python                                          3.10-slim-buster                           91479dc188b0   6 months ago         119MB
postgres                                        12                                         4c69e29b9bc4   6 months ago         373MB
ealen/echo-server                               0.7.0                                      6d4599601f8b   6 months ago         113MB
ealen/echo-server                               latest                                     6d4599601f8b   6 months ago         113MB
hub.invitor.com/landing                         20220714-160853                            9ad0a64b42bf   7 months ago         26.5MB
n8nio/n8n                                       0.185.0                                    76b5526963c6   7 months ago         653MB
hub.gralinte.com/prod-space/clientfrontend      v2.13.10-28-test                           a2912cea5029   7 months ago         171MB
hub.invitor.com/geo                             9d89a3a6ac7a5dca79cab707854928719769a42a   4093b2398d98   7 months ago         222MB
docker.elastic.co/eck/eck-operator              2.3.0                                      3ece38a5265d   7 months ago         66.2MB
gitlab/gitlab-ee                                15.0.3-ee.0                                b7afb6721566   8 months ago         2.72GB
gitlab/gitlab-ee                                latest                                     b7afb6721566   8 months ago         2.72GB
linuxserver/healthchecks                        2.2.1                                      c46c14ef6a5b   8 months ago         175MB
hub.gralinte.com/prod-space/frontend            v2.75.0-457-sandbox                        006ea1fccaac   8 months ago         1.64GB
getsentry/symbolicator                          0.5.1                                      543d5fd4f165   8 months ago         152MB
gralinte/front-admin                            16.15-alpine3.14                           583aa44f7886   8 months ago         479MB
node                                            lts-alpine3.14                             2680430c119d   8 months ago         112MB
prom/pushgateway                                latest                                     f5060376edfd   8 months ago         19.9MB
registry                                        2                                          773dbf02e42e   9 months ago         24.1MB
n8nio/n8n                                       0.178.0                                    e45c5385568c   9 months ago         579MB
n8nio/n8n                                       latest                                     e45c5385568c   9 months ago         579MB
nginx                                           1.21-alpine                                b1c3acb28882   9 months ago         23.4MB
rnwood/smtp4dev                                 latest                                     61bb7cf0c8be   9 months ago         270MB
timberio/vector                                 0.21.2-alpine                              8f8e4ae4ba18   9 months ago         122MB
rocketchat/rocket.chat                          latest                                     01fc4d7fafad   9 months ago         1.09GB
altinity/clickhouse-server                      21.8.15.15.altinitystable                  6b22bb62f8bc   9 months ago         706MB
mongo                                           4.2                                        5db1c04860da   9 months ago         388MB
hub.invitor.com/landing                         20220428-211636                            70153416dcda   9 months ago         25.8MB
hub.gralinte.com/prod-space/gazesalebackend     v2.72.20-1-esale-sandbox                   fbb23eeba239   9 months ago         1.03GB
hub.invitor.com/landing                         20220428-121100                            2e2f7d821ce5   9 months ago         25.8MB
hub.invitor.com/authcloud                       20220425-125327                            06a53a770244   10 months ago        231MB
hub.invitor.com/invitor-auth-cloud              29122021                                   06a53a770244   10 months ago        231MB
